ID,식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),리보플라빈(mg),칼슘(mg),철분(mg)
0,"네모점보유부초밥, 미니우동, 도라에몽암기빵, 새우튀김, 칠리소스, 배추김치, 슬림슬라이스반달단무지, 초코두유",1033.6,165.1,28.8,21.0,115.7,0.5,336.5,6.0
1,"칼슘보리밥, 열무된장국, 보쌈, 쌈장, 콩나물파채무침, 비빔밀면, 보쌈김치, 수박",852.3,133.7,28.0,25.4,507.6,0.6,228.3,5.0
2,"칼슘, 곡혼합잡곡밥, 호박고추장찌개, 참나물생채, 소불고기, 알감자버터구이, 배추김치, 케이크",743.6,109.1,43.6,15.6,236.6,0.7,193.3,5.0
3,"칼슘찹쌀밥, 조랭이떡국, 근대나물, 닭볶음탕, 고구마츄러스맛탕, 배추김치, 바나나",945.0,159.1,39.8,21.9,447.9,0.6,205.8,7.0
4,"장조림버터비빔밥, 쑥갓어묵국, 취나물무침, 배추김치, 흑당버블라떼, 떡꼬치",1003.0,180.3,39.7,19.8,393.4,0.9,352.2,6.0
5,"차조밥, 닭개장, 온두부, 숙주미나리무침, 돈육김치볶음, 고구마순들깨볶음, 열무김치, 포도",596.7,78.7,40.4,14.5,210.5,0.6,321.8,4.0
6,"칼슘현미밥, 동태찌개, 오이생채, 감자채볶음, 파프리카, 닭봉데리야끼구이, 총각김치, 양반김, 요플레, 딸기, 복숭아",641.0,81.3,45.6,18.1,331.1,0.5,270.2,3.0
7,"칼슘흑미밥, 순댓국, 오이고추된장무침, 사각어묵볶음, 수제코다리살강정, 섞박지, 조각메론",719.2,116.2,27.2,16.4,128.4,0.5,196.2,6.0
8,"칼슘현미밥, 감자수제비국, 야채계란찜, 마늘쫑초장무침, 고추장불고기, 배추겉절이, 입찰, 사과, 배식용",633.6,101.7,34.7,13.6,399.4,0.7,226.5,4.0
9,"차슈덮밥, 콩나물국, 시금치무침, 치즈미트파이, 깍두기, 샤인머스캣음료수",1002.1,120.1,36.7,41.6,149.7,0.8,241.7,3.0
10,"칼슘, 곡혼합잡곡밥, 돈육김치찌개, 연근조림, 얼갈이된장무침, 대패오리간장불고기, 에그타르트, 열무김치",776.6,102.8,33.9,25.2,160.2,0.8,231.6,4.0
11,"칼슘찹쌀밥, 육개장, 청경채무침, 가지나물, 에그타르트, 펜네소스함박, 배추겉절이, 입찰",813.7,110.3,31.2,27.9,194.2,0.5,250.6,3.0
12,"칼슘찹쌀밥, 부대찌개, 치커리사과무침, 건파래볶음, 베이컨말이연어, 웨지, 유자크림, 총각김치, 파인애플",645.1,93.1,22.8,21.3,86.6,0.4,231.3,3.0
13,"칼슘수수밥, 쇠고기무국, 도토리묵참나물무침, 미역줄기볶음, 닭갈비, 배추겉절이, 입찰, 아이스홍시",618.8,100.4,38.1,11.9,333.7,0.6,178.4,3.0
14,"짜장밥, 단무지깻잎무침, 깐쇼새우, 만두, 배추김치, 요구르트",1089.7,156.5,34.9,35.4,88.1,0.9,344.3,1.0
15,"칼슘, 곡혼합잡곡밥, 파이, 콩가루배추된장국, 돼지갈비찜, 녹두전, 총각김치, 영양부추무침",889.1,109.5,46.2,28.8,311.8,0.8,202.9,6.0
16,"곤드레나물밥, 팽이유부된장국, 반마리치킨, 배추김치, 블루베리무피클, 양반김, 수리취떡, 양배추샐러드, 케첩, 마요드레싱, 양배추샐러드, 케첩, 마요드레싱",920.1,124.0,46.3,31.2,174.1,0.6,194.8,6.0
17,"칼슘찹쌀밥, 쇠고기미역국, 파프리카잡채, 돈카츠, 소스, 배추김치, 수박롤케이크, 토마토카프리제",840.9,116.1,33.7,26.7,151.0,0.5,370.9,3.0
18,"칼슘, 곡혼합잡곡밥, 아욱된장국, 두부쑥갓무침, 마늘쫑볶음, 오리고추장불고기, 배추겉절이, 입찰, 양반김",735.0,85.1,30.4,31.2,415.6,0.9,327.9,5.0
19,"칼슘찹쌀밥, 순두부찌개, 연근조림, 탕평채, 파채돈육불고기, 배추김치, 방울토마토",601.2,91.9,32.9,13.3,268.9,0.8,240.3,4.0
20,"칼슘흑미밥, 화이트슈, 떡국, 도토리묵참나물무침, 비엔나케찹볶음, 오징어스틱, 타르타르소스, 배추김치",856.7,109.4,29.7,30.8,173.0,0.4,158.8,3.0
21,"칼슘수수밥, 육개장, 돈육메추리알장조림, 얼갈이된장무침, 시금치프리타타, 배추겉절이, 입찰, 참외",726.7,85.6,49.9,22.3,347.2,1.2,382.8,5.0
22,"칼슘찹쌀밥, 단호박카레, 세발나물, 장각구이, 배추김치, 메론주스",608.2,101.1,25.3,14.2,386.3,0.5,262.8,3.0
23,"칼슘, 곡혼합잡곡밥, 마라탕, 짜사이무침, 마파두부, 꿔바로우, 배추김치, 요구르트",992.1,153.5,36.1,25.0,206.6,0.6,250.8,2.0
24,"칼슘현미밥, 달걀국, 취나물무침, 돈육짜장불고기, 스팸감자구이, 배추겉절이, 입찰, 청포도",573.0,90.1,34.3,10.8,150.2,0.6,183.5,4.0
25,"칼슘흑미밥, 부대찌개, 치커리유자청무침, 깻잎동그랑땡전, 삼치구이, 잠발라야소스, 섞박지, 파인애플",587.3,89.1,35.2,10.5,194.7,0.5,165.3,4.0
26,"칼슘현미밥, 근대된장국, 비름나물무침, 닭볶음탕, 어향가지튀김, 배추김치, 뻉오쇼콜라",676.8,126.7,24.9,11.2,480.0,0.6,203.0,4.0
27,"추억의옛날도시락, 쑥갓어묵국, 시금치무침, 핫도그, 케첩, 깍두기, 과일주스",750.2,115.1,33.9,17.3,700.4,0.6,388.1,4.0
28,"칼슘, 곡혼합잡곡밥, 막국수, 부찬, 감자수제비국, 브로콜리버섯볶음, 구워먹는닭갈비, 배추김치, 요플레, 딸기, 복숭아",772.5,119.2,44.3,15.6,417.2,0.6,318.3,3.0
29,"차조밥, 오징어무국, 알감자조림, 도라지오이생채, 언양식불고기, 배추겉절이, 입찰, 바나나",703.3,106.7,30.5,19.3,48.6,0.5,181.8,3.0
30,"칼슘찹쌀밥, 옥수수스프, 진미채무침, 통등심돈까스, 배추김치, 케이크, 요거트과일샐러드",841.9,120.6,30.4,27.2,70.1,0.3,167.0,2.0
31,"칼슘, 곡혼합잡곡밥, 김치콩나물국, 두부조림, 새송이초무침, 찜닭, 순살, 깍두기, 아이스망고",611.4,97.3,26.1,10.5,322.6,0.9,210.6,3.0
32,"김밥볶음밥, 가쓰오장국, 밀떡볶이, 김말이튀김, 오징어튀김, 배추김치, 바나나우유",1045.0,162.6,34.8,29.0,883.7,0.7,419.6,1.0
33,"칼슘현미밥, 돈육김치찌개, 고등어무조림, 고춧잎무침, 부쳐먹는우리팜, 배추겉절이, 입찰, 조각메론",549.2,73.1,36.1,13.3,191.5,0.8,223.2,4.0
34,"추가밥, 로제소스스파게티, 플레로티사각피자, 배추김치, 딸기요거트드레싱, 야채피클, 아이스크림, 그린샐러드",866.2,96.2,34.0,15.2,266.0,0.3,156.8,1.0
35,"칼슘, 곡혼합잡곡밥, 북어채무국, 방풍나물무침, 오삼불고기, 사각어묵볶음, 회오리감자, 배추겉절이, 입찰",818.0,117.9,37.0,22.3,229.5,0.4,246.0,3.0
36,"칼슘찹쌀밥, 닭가슴살미역국, 찹쌀콩잔멸치볶음, 훈제오리, 머스터드, 인용, 배추김치, 부추적채무침, 케이크",621.9,74.1,27.6,25.1,54.3,0.4,170.9,3.0
37,"칼슘, 곡혼합잡곡밥, 샐러드파스타, 꼬치어묵국, 참나물무침, 목살찹스테이크, 배추김치, 찰떡, 초코, 크림치즈",843.0,117.3,37.5,23.7,183.4,0.5,241.5,4.0
38,"칼슘수수밥, 감자양파국, 근대나물, 오리고추장불고기, 오징어김치전, 총각김치, 사과, 배식용",606.6,95.2,27.5,15.0,186.8,0.5,171.7,3.0
39,"칼슘찹쌀밥, 하이라이스, 몬테크리스토샌드위치, 오이지무침, 배추김치, 딸기우유",808.3,132.2,31.4,17.2,228.2,0.7,334.3,2.0
