ID,식품명,상품명,식품대분류,식품상세분류,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
1,가리비,"가리비, 생것",농축산물,어패류 및 기타 수산물,80,0,15.18,1.73,0.22,0,735
2,가지,가지나물,숙채류,"나물,숙채류",17,2.1,0.7,0.8,1.2,1.3,137.08
3,가지구이,"가지, 데친것",농축산물,채소류,19,4.4,1,0.1,1.94,3.4,1
4,가지볶음,"가지, 염절임",농축산물,채소류,23,5.2,1.4,0.1,0,2.7,880
5,가츠동,일본_가츠동우엉덮밥,가공식품,즉석조리식품,270,38,11,8,3,0,280
6,간장,"간장, 개량, 양조",농축산물,조미료류,103,16.54,9.15,0,0,0.8,4783
7,간장게장,간장게장,젓갈류,젓갈류,155,15.1,17.6,2.8,10.5,2.7,2722.89
8,갈비구이,소양념갈비구이,구이류,육류구이,989.15,26.2,60.1,71.6,13.9,7.5,1378.45
9,갈비찜,소갈비찜,찜류,육류찜,494.599,13.138,49.86,26.956,4.317,0.952,753.635
10,갈비탕,갈비탕,국 및 탕류,"육류국,탕",363,2.7,57,13.8,0.8,12.4,1330.59
11,갈치구이,갈치구이,구이류,어패류구이,275,1.2,43.1,11,0,13.4,594.47
12,갈치조림,갈치조림,조림류,어패류조림,100,6.2,12.7,2.8,6.3,2.6,567.55
13,감,"귤, 온주밀감, 궁천조생, 노지, 생것",농축산물,과실류,39,10.16,0.29,0.16,8.19,1.3,1
14,감귤주스,감귤주스,과/채주스,과/채주스,85,18,1,0.9,18,0,0
15,감자구이,통감자,과자,과자,147,20,1,7,0.5,0,132
16,감자그라탕,대구살감자그라탕,즉석조리식품,즉석조리식품,85,7,4,4.3,3,0,100
17,감자볶음,감자볶음,볶음류,채소류볶음,107,13.72,1.46,5.42,1.57,1.2,196
18,감자샐러드,감자샐러드,생채및 무침류,샐러드,189,18.4,2,12,5.6,2.7,354.01
19,감자스프,감자스프,즉석조리식품,즉석조리식품,229,16,5,17,0,0,293
20,감자전,감자전,"전,적 및 부침류",채소류전,265,33.6,3.4,13.1,3.6,4,586.57
21,감자조림,감자조림,조림류,채소류조림,56,9,1.2,1.8,3.8,0.9,243.52
22,감자채볶음,감자채볶음,즉석조리식품,즉석조리식품,90,11,2,4.3,1,0,160
23,감자칩,"감자 과자, 감자칩, 튀긴것",농축산물,감자 및 전분류,536,60.92,4.95,30.33,0,4,342
24,감자탕,감자탕,찌개 및 전골류,"육류찌개,전골",375,12,33.4,21.5,0,12.5,1739.85
25,감자튀김,감자튀김,튀김류,채소류튀김,467,52.7,6.8,25.5,0.5,5.9,117.11
26,갓김치,갓김치,김치류,김치,16,1.9,1,0.5,0.5,1.5,175.22
27,거봉포도,"포도, 거봉, 생것",농축산물,과실류,60,15.73,0.4,0.27,13.74,1.6,1
28,건새우볶음,건새우볶음,볶음류,어패류볶음,60,1.1,8.3,2.6,0.8,1.4,310.78
29,건자두,"자두, 말린것",농축산물,과실류,221,58.7,2.8,0,0,0,29
30,건포도,"포도, 건포도",농축산물,과실류,297,78.89,2.64,0.53,66.71,4.5,27
31,게맛살,게맛살,농축산물,어패류 및 기타 수산물,118,18.6,10.6,0.1,0,0,792
32,게장,간장게장,젓갈류,젓갈류,155,15.1,17.6,2.8,10.5,2.7,2722.89
33,겨자소스,겨자,소스,기타,3,0.39,0.2,0.16,0.14,0.2,56
34,경단,경단(깨),곡류 및 서류,떡류,319.466,74.219,4.442,0.536,26.64,5.441,180.002
35,계란국,야채계란국,즉석조리식품,즉석조리식품,40,1,3,2.4,0,0,210
36,계란말이,일본식 계란말이,"전,적 및 부침류","기타 전,적 및 부침류",138.34,8.67,9.95,7.1,0,0,141.1
37,계란볶음밥,계란볶음밥,밥류,볶음밥류,584,63,17.2,29.3,0.4,4.6,827.6
38,계란샌드위치,엄마손 계란샌드위치,즉석섭취식품,즉석섭취식품,394,36,13,22,7,0,690
39,계란찜,토마토 채소 계란찜,찜류,기타 찜류,181.76,4,11.68,13.23,0,0,159.3
40,계란후라이,계란후라이,즉석조리식품,즉석조리식품,89,0.43,6.24,6.76,0.38,0,210
41,고구마,"고구마, 신율미, 생것",농축산물,감자 및 전분류,164,38.84,1,0.61,4.64,2.2,47
42,고등어,고등어,수산물,어류,0,0,0,0,0,0,0
43,고등어구이,고등어구이,구이류,어패류구이,551,0.4,47.7,40,0.4,2,1210
44,고등어조림,고등어조림,조림류,어패류조림,141,4.1,11.3,8.8,3.4,2.5,389.57
45,고르곤졸라,고르곤졸라R,빵류,피자류,368,0,20,0,4,0,561
46,고르곤졸라피자,고르곤졸라피자,빵류,피자류,695,78.2951,35.0141,27.0907,9.1371,0,965.2121
47,고사리나물,고사리나물,숙채류,"나물,숙채류",44,3.1,1.9,2.8,0.3,2.8,220.71
48,고추,"고추, 풋고추, 생것",농축산물,채소류,29,6.42,1.71,0.19,1.8,4.4,1
49,고추장,고추장,고추장,고추장,1.8,0.34,0.05,0.02,0.23,0,20.82
50,고추장아찌,고추장아찌,장아찌 및 절임류,"장아찌,절임류",49,8.4,1.2,1.2,0.4,2.3,1515.58
51,고추장진미채볶음,웰니스식단 아마란스진미채무침 세트,즉석섭취식품,즉석섭취식품,130,12,6,7,2,0,390
52,고추튀김,고추튀김,튀김류,채소류튀김,202,14.6,7.6,12.6,2.3,2.2,249.15
53,고춧가루,"고춧가루, 가루",농축산물,조미료류,319,60.62,13.29,8.4,17.45,37.7,13
54,골드키위,골드키위,혼합음료,혼합음료,500,1,0,53,16,0,220
55,곰탕_설렁탕,진한 곰탕국밥,즉석조리식품,즉석조리식품,260,40,7,8,2,0,1240
56,곱창구이,소곱창구이,구이류,육류구이,275,7.1,22.3,17.6,1.7,3.2,1971.87
57,곱창전골,소곱창전골,찌개 및 전골류,"육류찌개,전골",529,29.2,41.6,27.3,2.3,13.2,1779.63
58,곶감,"곶감, 말린것",농축산물,과실류,214,57.45,1.93,0.08,29.76,8.5,1
59,과메기,과메기,수산물,어류,177,0,20.25,9.95,0,0,794
60,과일주스,딸기 생과일주스,음료 및 차류,"과일,채소음료류",98,0,1,0,6,0,2
61,과일채소샐러드,현미닭가슴살미니볼&과일채소샐러드,즉석조리식품,즉석조리식품,200,21.8,18.9,4.1,5.4,0,253
62,구아바,"구아바, 생것",농축산물,과실류,38,9.9,0.6,0.1,3.5,5.1,3
63,국수,냉김치말이국수,면 및 만두류,국수류,302.53,52,12.9,4.8,8.3,4.6,2121.62
64,국화차,목단비국화차,액상차,액상차,0,0,0,0,0,0,30
65,군고구마,"고구마, 분질(밤) 고구마, 구운것",농축산물,감자 및 전분류,189,45.96,1.01,0.16,14.95,4.7,10
66,귤,"귤, 온주밀감, 궁천조생, 노지, 생것",농축산물,과실류,39,10.16,0.29,0.16,8.19,1.3,1
